Hora,Barra,CM_Total,Codigo
2022-05-16 00:30:22,AGUAYTIA 138,20,201456
2022-05-16 00:30:22,AGUAYTIA 220,50,201456
2022-05-16 00:30:22,ALTO PRADERAS,70,201456
2022-05-16 00:30:22,MACIZO,100,201456
2022-05-16 01:00:22,AGUAYTIA 138,20,201456
2022-05-16 01:00:22,AGUAYTIA 220,50,201456
2022-05-16 01:00:22,ALTO PRADERAS,70,201456
2022-05-16 01:00:22,MACIZO,100,201456
2022-05-16 01:30:22,AGUAYTIA 138,20,201456
2022-05-16 01:30:22,AGUAYTIA 220,50,201456
2022-05-16 01:30:22,ALTO PRADERAS,70,201456
2022-05-16 01:30:22,MACIZO,100,201456
2022-05-16 01:30:22,DUVITO,90,201456
2022-05-16 02:00:22,DUVITO,90,201456
2022-05-16 02:30:22,AGUAYTIA 138,20,201456
2022-05-16 02:30:22,AGUAYTIA 220,50,201456
2022-05-16 02:30:22,ALTO PRADERAS,70,201456
2022-05-16 02:30:22,MACIZO,100,201456
2022-05-16 03:00:22,AGUAYTIA 138,20,201456
2022-05-16 03:00:22,AGUAYTIA 220,50,201456
2022-05-16 03:00:22,ALTO PRADERAS,70,201456
2022-05-16 03:00:22,MACIZO,200,201456
2022-05-16 03:00:22,DUVITO,90,201456
2022-05-16 03:30:22,MACIZO,200,201456
2022-05-16 04:00:22,AGUAYTIA 138,20,201456
2022-05-16 04:00:22,AGUAYTIA 220,50,201456
2022-05-16 04:00:22,ALTO PRADERAS,70,201456
2022-05-16 04:00:22,MACIZO,300,201456
2022-05-16 04:00:22,DUVITO,90,201456
2022-05-16 04:30:22,DUVITO,90,201456
2022-05-16 05:00:22,DUVITO,100,201456
2022-05-16 05:30:22,DUVITO,100,201456
2022-05-16 06:00:22,DUVITO,200,201456
2022-05-16 06:00:22,DIOSMIOQUEMACIZO,500,201456
2022-05-16 06:30:22,AGUAYTIA 138,20,201456
2022-05-16 06:30:22,AGUAYTIA 220,50,201456
2022-05-16 06:30:22,ALTO PRADERAS,70,201456
2022-05-16 06:30:22,MACIZO,300,201456
2022-05-16 06:30:22,DIOSMIOQUEMACIZO,100,201456
